dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,snr,temperature,tvoc,uptime
2024-11-28 12:05:06.211Z,7.810055008126401,,,,,,,50,583,7.851342,40.92768478393555,41.02341079711914,53.35725021362305,34.81757736206055,168.0,,,,,1004.9542236328125,-102.0,0.0,21.7138614654541,9,3359524
2024-11-28 12:15:06.067Z,7.836968570811966,,,,,,,50,583,7.901353,41.09248352050781,42.057979583740234,56.22957992553711,32.586490631103516,140.0,,,,,1004.9629516601562,-101.0,0.0,21.70379066467285,8,3360124
2024-11-28 12:25:05.896Z,7.881436601231093,,,,,,,50,586,7.983199,41.38545608520508,47.445926666259766,62.77788162231445,31.887662887573242,140.0,,,,,1004.91748046875,-101.0,0.0,21.678613662719727,6,3360724
2024-11-28 12:35:06.211Z,7.8745997594829,,,,,,,50,594,7.969646,41.38545608520508,39.24934768676758,49.16585159301758,31.027570724487305,0.0,,,,,1005.07958984375,-102.0,0.0,21.66350746154785,11,3361324
2024-11-28 12:45:06.069Z,7.853985752397701,,,,,,,50,599,7.9295278,41.34883499145508,46.049251556396484,81.53948211669922,31.354108810424805,0.0,0.7025639414787292,0.6643869876861572,0.7025639414787292,0.7025639414787292,1005.0776977539062,-102.0,1.0,21.6332950592041,12,3361924
2024-11-28 12:55:05.890Z,7.818625477652164,,,,,,,50,607,7.863226,41.16267395019531,40.19394302368164,50.406131744384766,31.5670223236084,84.0,,,,,1005.0000610351562,-101.0,0.0,21.6332950592041,12,3362524
2024-11-28 13:05:05.730Z,7.803436674120293,,,,,,,50,606,7.8325496,41.17793273925781,40.63605880737305,44.88401412963867,33.07706832885742,0.0,,,,,1005.094970703125,-101.0,1.0,21.5930118560791,10,3363124
2024-11-28 13:15:06.056Z,7.799080772554399,,,,,,,50,605,7.8230267,41.21455383300781,40.24465560913086,44.666934967041016,33.68954849243164,140.0,,,,,1005.131103515625,-101.0,-1.0,21.567834854125977,11,3363724
2024-11-28 13:25:05.893Z,7.782446255682353,,,,,,,50,603,7.791147,41.15046691894531,40.81167221069336,45.3454704284668,32.46641159057617,56.0,,,,,1005.1627197265625,-101.0,0.0,21.557764053344727,8,3364324
2024-11-28 13:35:05.734Z,7.7648185378030785,,,,,,,50,599,7.759184,40.99787521362305,41.321102142333984,45.23543930053711,33.035823822021484,84.0,,,,,1005.2396850585938,-101.0,0.0,21.58294105529785,8,3364924
