dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,altitude,batt,co2,dewpoint,fdebug1,fdebug2,fdebug3,humidity,laeqx,lafmax,lafmin,latitude,light,longitude,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-28 12:07:37.097Z,7.69051811723823,,,,,,,,80,491,7.6207867,,,,40.48822784423828,43.63266372680664,51.89730453491211,35.48086166381836,,0.0,,,,,,1002.2489013671875,-97.0,,2.0,21.6332950592041,56,3358929
2024-11-28 12:17:36.802Z,7.684330687385018,,,,,,,,80,488,7.60846,,,,40.47907257080078,43.8907585144043,56.8443717956543,36.36283493041992,,0.0,,,,,,1002.2637939453125,-98.0,,2.0,21.62322425842285,56,3359529
2024-11-28 12:27:36.642Z,7.684235909449809,,,,,,,,80,484,7.608543,,,,40.466861724853516,44.38395309448242,49.73637771606445,35.738346099853516,,84.0,,0.5221369862556458,0.4937639832496643,0.5221369862556458,0.5221369862556458,1002.3084716796875,-98.0,,2.0,21.628259658813477,58,3360129
2024-11-28 12:37:37.263Z,7.680951096360853,,,,,,,,80,484,7.6033306,,,,40.402774810791016,44.21402359008789,50.78117752075195,36.214542388916016,,280.0,,,,,,1002.3167724609375,-98.0,,0.0,21.648401260375977,58,3360729
2024-11-28 12:47:36.958Z,7.703669829701814,,,,,,,,80,483,7.646367,,,,40.53400421142578,43.4070930480957,50.15421676635742,35.343265533447266,,112.0,,,,,,1002.3361206054688,-98.0,,-1.0,21.64336585998535,58,3361329
2024-11-28 12:57:43.307Z,7.695155435292603,,,,,,,,80,478,7.6296244,,,,40.51264190673828,44.4046745300293,52.807647705078125,35.92023849487305,,168.0,,,,,,1002.35546875,-100.0,,-7.0,21.6332950592041,59,3361929
2024-11-28 13:07:37.690Z,7.706169065671737,,,,,,,,80,478,7.6505957,,,,40.57062530517578,45.536136627197266,60.55608367919922,39.79924392700195,,28.0,,,,,,1002.4263916015625,-96.0,,-3.0,21.6332950592041,57,3362529
2024-11-28 13:17:39.813Z,7.726119257056536,,,,,,,,80,481,7.6895714,,,,40.62860870361328,46.48643112182617,61.11878967285156,36.2936897277832,,56.0,,,,,,1002.4684448242188,-97.0,,5.0,21.6534366607666,59,3363129
2024-11-28 13:27:36.211Z,7.733083289216741,,,,,,,,80,494,7.702788,,,,40.66522979736328,44.1008186340332,51.40952682495117,36.18483352661133,,0.0,,4.152103900909424,1.1995099782943726,2.557985782623291,3.58640193939209,1002.4654541015625,-97.0,,2.0,21.6534366607666,62,3363729
2024-11-28 13:37:36.541Z,7.693615098019217,,,,,,,,80,514,7.6293273,,,,40.387516021728516,44.90677261352539,51.992977142333984,37.7853889465332,,28.0,,,,,,1002.4126586914062,-97.0,,-1.0,21.683650970458984,72,3364329
2024-11-28 13:47:45.811Z,7.656844894357816,,,,,,,,80,524,7.5580535,,,,40.241031646728516,43.960330963134766,49.58706283569336,36.78030776977539,,0.0,,,,,,1002.356201171875,-97.0,,5.0,21.66350746154785,95,3364929
2024-11-28 13:57:36.218Z,7.645560840118382,,,,,,,,80,526,7.535654,,,,40.216617584228516,46.3289909362793,63.83910369873047,38.87889099121094,,0.0,,,,,,1002.4146118164062,-97.0,,-8.0,21.648401260375977,109,3365529
2024-11-28 14:07:36.133Z,7.6539985129791,,,,,,,,80,529,7.5510235,,,,40.295963287353516,44.768672943115234,57.65904998779297,36.723636627197266,,0.0,,,,,,1002.5452270507812,-97.0,,4.0,21.6332950592041,114,3366129
2024-11-28 14:17:35.973Z,7.656999548126004,,,,,,,,80,539,7.556504,,,,40.323429107666016,46.1041145324707,65.79853820800781,37.65414047241211,,0.0,,,,,,1002.5675659179688,-97.0,,-11.0,21.628259658813477,141,3366729
2024-11-28 14:27:36.292Z,7.672840006784679,,,,,,,,80,546,7.5862613,,,,40.430240631103516,45.4816780090332,52.27471923828125,39.37495040893555,,196.0,,1.2461169958114624,0.7187959551811218,0.9774419665336609,1.1507729291915894,1002.6431274414062,-97.0,,6.0,21.618188858032227,151,3367329
2024-11-28 14:37:36.139Z,7.678630423820363,,,,,,,,80,553,7.5989013,,,,40.390567779541016,44.92216873168945,50.89162826538086,37.67399597167969,,112.0,,,,,,1002.8184204101562,-97.0,,2.0,21.648401260375977,158,3367929
2024-11-28 14:47:35.976Z,7.655737507249489,,,,,,,,80,558,7.5543523,,,,40.305118560791016,44.431766510009766,52.890316009521484,37.61789321899414,,0.0,,,,,,1002.9342041015625,-97.0,,2.0,21.6332950592041,154,3368529
2024-11-28 14:57:36.371Z,7.632985263957702,,,,,,,,80,557,7.509694,,,,40.231876373291016,44.1063117980957,55.81528091430664,36.78091812133789,,0.0,,,,,,1002.9071044921875,-97.0,,-15.0,21.6131534576416,145,3369129
2024-11-28 15:07:36.213Z,7.616884035140845,,,,,,,,80,557,7.4785047,,,,40.15863037109375,45.41875076293945,51.213436126708984,39.868412017822266,,196.0,,,,,,1003.032958984375,-97.0,,-1.0,21.608118057250977,140,3369729
2024-11-28 15:17:36.096Z,7.603799054169808,,,,,,,,80,557,7.452802,,,,40.11285400390625,44.43269729614258,54.68000411987305,37.20657730102539,,0.0,,,,,,1003.0833129882812,-97.0,,2.0,21.598047256469727,128,3370329
