dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-27 10:09:02.614Z,10.40959376531263,,,,,,,60,519,11.947509,66.93817138671875,41.89448165893555,49.562076568603516,36.22365951538086,,,,,,1000.9627685546875,-87.0,,-1.0,18.194116592407227,76,3265930
2024-11-27 10:19:02.668Z,10.405694565008584,,,,,,,60,517,11.945909,66.63605499267578,41.811466217041016,54.15269470214844,36.06830978393555,,,,,,1001.001220703125,-87.0,,-1.0,18.264612197875977,71,3266530
2024-11-27 10:29:02.550Z,10.419955790652137,,,,,,,60,514,11.971078,66.43157196044922,41.666568756103516,47.65761184692383,35.74660873413086,,,,,,1001.0648803710938,-87.0,,-1.0,18.34014320373535,70,3267130
2024-11-27 10:39:02.633Z,10.413242797089934,,,,,,,60,513,11.96537,66.11418914794922,43.3454475402832,53.751991271972656,35.61457443237305,,,,,,1001.0725708007812,-87.0,,0.0,18.4106388092041,72,3267730
2024-11-27 10:49:02.473Z,10.423270137219673,,,,,,,60,509,11.983477,65.94328308105469,41.7918586730957,49.92434310913086,35.61283493041992,,3.085387945175171,2.917728900909424,3.085387945175171,3.085387945175171,1001.0271606445312,-87.0,,-1.0,18.4710636138916,67,3268330
2024-11-27 10:59:02.375Z,10.420417582694583,,,,,,,60,504,11.985712,65.49772644042969,41.36635208129883,50.439083099365234,35.452449798583984,,,,,,1001.1171875,-88.0,,-2.0,18.58184242248535,64,3268930
2024-11-27 11:09:02.469Z,10.432268252625992,,,,,,,60,502,12.005877,65.37870025634766,41.41624069213867,47.386722564697266,35.21223068237305,,,,,,1001.1724853515625,-87.0,,0.0,18.6321964263916,65,3269530
2024-11-27 11:19:02.216Z,10.434959813758752,,,,,,,60,501,12.012983,65.18338775634766,41.388545989990234,55.5167121887207,34.83553695678711,,,,,,1001.169677734375,-87.0,,1.0,18.687585830688477,67,3270130
2024-11-27 11:29:02.163Z,10.4762281955969,,,,,,,60,497,12.077009,65.17118072509766,43.0116081237793,60.0111083984375,34.93465805053711,,,,,,1001.199951171875,-88.0,,-1.0,18.758081436157227,62,3270730
2024-11-27 11:39:02.628Z,10.636847918954041,,,,,,,60,525,12.312526,65.89750671386719,43.77677536010742,70.15319061279297,35.612483978271484,,,,,,1001.3069458007812,-89.0,,-1.0,18.828577041625977,104,3271330
2024-11-27 11:49:02.420Z,10.602403434076454,,,,,,,60,549,12.265754,65.50993347167969,42.37057113647461,56.201168060302734,35.39713668823242,,8.882085800170898,4.331618785858154,6.504143714904785,8.038229942321777,1001.3928833007812,-87.0,,-2.0,18.8738956451416,93,3271930
2024-11-27 11:59:02.314Z,10.588387427994679,,,,,,,60,558,12.249957,65.13455963134766,42.7011604309082,57.731868743896484,35.579586029052734,,,,,,1001.493408203125,-87.0,,0.0,18.949426651000977,90,3272530
2024-11-27 12:09:02.217Z,10.548597953812992,,,,,,,60,562,12.193538,64.83242797851562,41.4736213684082,45.54575729370117,35.46134567260742,,,,,,1001.53369140625,-86.0,,-1.0,18.96453285217285,82,3273130
2024-11-27 12:19:02.308Z,10.510833821333886,,,,,,,60,560,12.140147,64.52420043945312,41.842159271240234,46.632328033447266,36.02645492553711,,,,,,1001.5285034179688,-87.0,,-3.0,18.98467445373535,71,3273730
2024-11-27 12:29:02.476Z,10.490298467905463,,,,,,,60,552,12.1127205,64.2464828491211,41.85862350463867,45.815853118896484,36.28367233276367,,,,,,1001.61376953125,-87.0,,-4.0,19.02495765686035,76,3274330
2024-11-27 12:39:02.314Z,10.473826531773677,,,,,,,60,542,12.090274,64.0511703491211,41.94082260131836,45.978946685791016,36.05868911743164,,,,,,1001.697998046875,-87.0,,-2.0,19.050134658813477,69,3274930
2024-11-27 12:49:02.439Z,10.44246939419535,,,,,,,60,532,12.044996,63.840599060058594,42.83175277709961,56.8659782409668,36.15798568725586,,5.728312969207764,4.746983528137207,5.3366169929504395,5.589312553405762,1001.6683959960938,-87.0,,-2.0,19.0551700592041,63,3275530
2024-11-27 12:59:02.137Z,10.427846280200438,,,,,,,60,522,12.027158,63.52626419067383,41.76860427856445,47.55179977416992,35.80452346801758,,,,,,1001.7349243164062,-86.0,,-4.0,19.1155948638916,63,3276130
2024-11-27 13:09:02.059Z,10.409485351631997,,,,,,,60,514,12.00125,63.35841369628906,41.49330520629883,45.24189376831055,35.6782341003418,,,,,,1001.7695922851562,-87.0,,-2.0,19.130701065063477,57,3276730
2024-11-27 13:19:01.976Z,10.386519447802616,,,,,,,60,512,11.968283,63.18141174316406,42.0389518737793,56.13607406616211,35.721797943115234,,,,,,1001.8013305664062,-87.0,,0.0,19.140771865844727,61,3277330
2024-11-27 13:29:01.901Z,10.393278781231682,,,,,,,60,506,11.979597,63.12953186035156,42.012691497802734,48.12076950073242,35.731449127197266,,,,,,1001.8848876953125,-86.0,,-1.0,19.16594886779785,56,3277930
2024-11-27 13:39:01.816Z,10.358710958548855,,,,,,,60,500,11.929876,62.8640251159668,42.05740737915039,46.30806350708008,36.42476272583008,,,,,,1001.9197387695312,-87.0,,-1.0,19.181055068969727,56,3278530
2024-11-27 13:49:02.374Z,10.337159074409398,,,,,,,60,494,11.899125,62.67786407470703,42.343257904052734,55.61747360229492,36.056697845458984,,4.393397808074951,4.154662609100342,4.393397808074951,4.393397808074951,1001.95703125,-87.0,,0.0,19.1961612701416,48,3279130
2024-11-27 13:59:02.237Z,10.379180919092798,,,,,,,60,496,11.963003,62.78467559814453,43.75986099243164,52.83173370361328,35.93270492553711,,,,,,1002.0560302734375,-87.0,,0.0,19.2364444732666,54,3279730
2024-11-27 14:09:02.065Z,10.511490941822467,,,,,,,60,521,12.156062,63.54762649536133,44.1728630065918,58.27172088623047,35.09737014770508,,,,,,1002.1185302734375,-88.0,,-2.0,19.24651527404785,57,3280330
2024-11-27 14:19:02.011Z,10.65597764221184,,,,,,,60,598,12.365573,64.3075180053711,44.735774993896484,55.40572738647461,35.11403274536133,,,,,,1002.1723022460938,-88.0,,-3.0,19.2767276763916,60,3280930
2024-11-27 14:29:01.896Z,10.81010186130889,,,,,,,60,693,12.587389,65.04605865478516,45.71695327758789,64.68268585205078,36.26231002807617,,,,,,1002.2217407226562,-88.0,,-3.0,19.32708168029785,68,3281530
2024-11-27 14:39:01.815Z,10.954515374218838,,,,,,,60,834,12.793232,65.70219421386719,46.1409797668457,62.04245376586914,35.47945022583008,,,,,,1002.2349243164062,-89.0,,0.0,19.38247299194336,74,3282130
2024-11-27 14:49:01.735Z,11.07612352973299,,,,,,,60,1040,12.965838,66.17827606201172,41.83488845825195,53.95478057861328,34.81144332885742,,123.82765197753906,18.35975456237793,66.10724639892578,103.34451293945312,1002.3101196289062,-90.0,,0.0,19.44793128967285,78,3282730
2024-11-27 14:59:01.653Z,11.164428061161635,,,,,,,60,1076,13.094638,66.21794891357422,41.234432220458984,47.78409957885742,34.60447311401367,,,,,,1002.2852172851562,-88.0,,0.0,19.573816299438477,84,3283330
2024-11-27 15:09:02.057Z,11.203563205603604,,,,,,,60,1084,13.153724,66.08061981201172,41.86030197143555,59.757606506347656,35.06357955932617,,,,,,1002.2757568359375,-90.0,,-2.0,19.66948890686035,88,3283930
2024-11-27 15:19:02.164Z,11.246556726486945,,,,,,,60,1077,13.2190485,65.88835144042969,42.26192092895508,56.50795364379883,34.539119720458984,,,,,,1002.2876586914062,-90.0,,-1.0,19.785303115844727,86,3284530
2024-11-27 15:29:01.918Z,11.268427302434443,,,,,,,60,1068,13.255148,65.59233093261719,41.48484420776367,49.972347259521484,34.6217155456543,,,,,,1002.4000244140625,-91.0,,0.0,19.896081924438477,87,3285130
